get_op : cur_node = 0, value = #a
get_as : cur_node = 0, value = #a
get_var : cur_node = 0, value = #a
get_exp : cur_node = 2, value = 0
get_t : cur_node = 2, value = 0
get_p : cur_node = 2, value = 0
get_num : cur_node = 2, value = 0
get_as : cur_node = 4, value = #b
get_var : cur_node = 4, value = #b
get_exp : cur_node = 6, value = 0
get_t : cur_node = 6, value = 0
get_p : cur_node = 6, value = 0
get_num : cur_node = 6, value = 0
get_as : cur_node = 8, value = #c
get_var : cur_node = 8, value = #c
get_exp : cur_node = 10, value = 0
get_t : cur_node = 10, value = 0
get_p : cur_node = 10, value = 0
get_num : cur_node = 10, value = 0
get_as : cur_node = 12, value = #a
get_var : cur_node = 12, value = #a
get_exp : cur_node = 14, value = scanf
get_t : cur_node = 14, value = scanf
get_p : cur_node = 14, value = scanf
get_func : cur_node = 14, value = scanf
get_var : cur_node = 14, value = scanf
get_exp : cur_node = 16, value = #a
get_t : cur_node = 16, value = #a
get_p : cur_node = 16, value = #a
get_var : cur_node = 16, value = #a
get_func : cur_node = 17, value = )
get_func : cur_node = 18, value = ;
get_as : cur_node = 19, value = #b
get_var : cur_node = 19, value = #b
get_exp : cur_node = 21, value = scanf
get_t : cur_node = 21, value = scanf
get_p : cur_node = 21, value = scanf
get_func : cur_node = 21, value = scanf
get_var : cur_node = 21, value = scanf
get_exp : cur_node = 23, value = #b
get_t : cur_node = 23, value = #b
get_p : cur_node = 23, value = #b
get_var : cur_node = 23, value = #b
get_func : cur_node = 24, value = )
get_func : cur_node = 25, value = ;
get_as : cur_node = 26, value = #c
get_var : cur_node = 26, value = #c
get_exp : cur_node = 28, value = scanf
get_t : cur_node = 28, value = scanf
get_p : cur_node = 28, value = scanf
get_func : cur_node = 28, value = scanf
get_var : cur_node = 28, value = scanf
get_exp : cur_node = 30, value = #c
get_t : cur_node = 30, value = #c
get_p : cur_node = 30, value = #c
get_var : cur_node = 30, value = #c
get_func : cur_node = 31, value = )
get_func : cur_node = 32, value = ;
get_as : cur_node = 33, value = #d
get_var : cur_node = 33, value = #d
get_exp : cur_node = 35, value = CalcDiscr
get_t : cur_node = 35, value = CalcDiscr
get_p : cur_node = 35, value = CalcDiscr
get_func : cur_node = 35, value = CalcDiscr
get_var : cur_node = 35, value = CalcDiscr
get_exp : cur_node = 37, value = #a
get_t : cur_node = 37, value = #a
get_p : cur_node = 37, value = #a
get_var : cur_node = 37, value = #a
get_func : cur_node = 38, value = ,
get_exp : cur_node = 39, value = #b
get_t : cur_node = 39, value = #b
get_p : cur_node = 39, value = #b
get_var : cur_node = 39, value = #b
get_exp : cur_node = 41, value = #c
get_t : cur_node = 41, value = #c
get_p : cur_node = 41, value = #c
get_var : cur_node = 41, value = #c
get_func : cur_node = 43, value = ;
get_exp : cur_node = 44, value = printf
get_t : cur_node = 44, value = printf
get_p : cur_node = 44, value = printf
get_func : cur_node = 44, value = printf
get_var : cur_node = 44, value = printf
get_exp : cur_node = 46, value = #d
get_t : cur_node = 46, value = #d
get_p : cur_node = 46, value = #d
get_var : cur_node = 46, value = #d
get_func : cur_node = 47, value = )
get_func : cur_node = 48, value = ;
get_if : cur_node = 49, value = VTURILAS
get_dis : cur_node = 51, value = #d
get_exp : cur_node = 51, value = #d
get_t : cur_node = 51, value = #d
get_p : cur_node = 51, value = #d
get_var : cur_node = 51, value = #d
get_exp : cur_node = 53, value = 0
get_t : cur_node = 53, value = 0
get_p : cur_node = 53, value = 0
get_num : cur_node = 53, value = 0
get_op : cur_node = 56, value = #x
get_as : cur_node = 56, value = #x
get_var : cur_node = 56, value = #x
get_exp : cur_node = 58, value = CalcOnlyOneRoot
get_t : cur_node = 58, value = CalcOnlyOneRoot
get_p : cur_node = 58, value = CalcOnlyOneRoot
get_func : cur_node = 58, value = CalcOnlyOneRoot
get_var : cur_node = 58, value = CalcOnlyOneRoot
get_exp : cur_node = 60, value = #a
get_t : cur_node = 60, value = #a
get_p : cur_node = 60, value = #a
get_var : cur_node = 60, value = #a
get_func : cur_node = 61, value = ,
get_exp : cur_node = 62, value = #b
get_t : cur_node = 62, value = #b
get_p : cur_node = 62, value = #b
get_var : cur_node = 62, value = #b
get_func : cur_node = 64, value = ;
get_exp : cur_node = 65, value = printf
get_t : cur_node = 65, value = printf
get_p : cur_node = 65, value = printf
get_func : cur_node = 65, value = printf
get_var : cur_node = 65, value = printf
get_exp : cur_node = 67, value = #x
get_t : cur_node = 67, value = #x
get_p : cur_node = 67, value = #x
get_var : cur_node = 67, value = #x
get_func : cur_node = 68, value = )
get_func : cur_node = 69, value = ;
get_op : cur_node = 73, value = VTURILAS
get_if : cur_node = 73, value = VTURILAS
get_dis : cur_node = 75, value = #d
get_exp : cur_node = 75, value = #d
get_t : cur_node = 75, value = #d
get_p : cur_node = 75, value = #d
get_var : cur_node = 75, value = #d
get_exp : cur_node = 77, value = 0
get_t : cur_node = 77, value = 0
get_p : cur_node = 77, value = 0
get_num : cur_node = 77, value = 0
get_op : cur_node = 80, value = #SqD
get_as : cur_node = 80, value = #SqD
get_var : cur_node = 80, value = #SqD
get_exp : cur_node = 82, value = sqrt
get_t : cur_node = 82, value = sqrt
get_p : cur_node = 82, value = sqrt
get_func : cur_node = 82, value = sqrt
get_var : cur_node = 82, value = sqrt
get_exp : cur_node = 84, value = #d
get_t : cur_node = 84, value = #d
get_p : cur_node = 84, value = #d
get_var : cur_node = 84, value = #d
get_func : cur_node = 85, value = )
get_func : cur_node = 86, value = ;
get_exp : cur_node = 87, value = printf
get_t : cur_node = 87, value = printf
get_p : cur_node = 87, value = printf
get_func : cur_node = 87, value = printf
get_var : cur_node = 87, value = printf
